# Rime user dictionary
#@/db_name	phrases_smp_all.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	22014
#@/user_id	Rime
a 	啊	c=120 d=1.46935 t=22014
mai lai 	買來	c=2 d=3.31184e-28 t=22014
mai le 	買了	c=1 d=0.000383949 t=22014
mai ming 	賣命	c=1 d=1 t=21244
mai yi ge 	买一个	c=2 d=4.76125e-06 t=22014
mai yi ge 	卖一个	c=1 d=3.04419e-38 t=22014
man 	嫚	c=2 d=7.95994e-43 t=22014
man 	慢	c=9 d=0.0837432 t=22014
man 	蠻	c=1 d=4.62196e-39 t=22014
mang 	忙	c=1 d=3.14287e-31 t=22014
mao 	帽	c=1 d=1 t=20308
mao 	毛	c=5 d=4.41797e-22 t=22014
mao 	貓	c=3 d=1.85591e-41 t=22014
mao bing 	毛病	c=1 d=0.418952 t=22014
mao dun 	矛盾	c=3 d=0.514274 t=22014
mao hao 	冒號	c=2 d=0.00151965 t=22014
mao ming ding ti 	冒名頂替	c=1 d=1 t=20437
mao pao 	冒泡	c=1 d=0.00504176 t=22014
mao qian 	毛錢	c=1 d=0.000391706 t=22014
mao si 	貌似	c=1 d=3.20974e-14 t=22014
mao xiong 	貓熊	c=1 d=8.03176e-40 t=22014
mao zhu xi 	毛主席	c=6 d=0.0851089 t=22014
me 	麼	c=0 d=1.00307e-37 t=22014
me me 	麼麼	c=2 d=4.35813e-23 t=22014
me you 	麼有	c=1 d=1.96979e-16 t=22014
mei 	媚	c=0 d=1.26053e-19 t=22014
mei 	沒	c=41 d=0.169029 t=22014
mei 	美	c=4 d=7.21743e-07 t=22014
mei bai 	美白	c=0 d=3.09029e-10 t=22014
mei bai ji fu 	美白肌膚	c=1 d=3.10578e-09 t=22014
mei ban fa 	沒辦法	c=3 d=4.68463e-21 t=22014
mei bi yao 	沒必要	c=2 d=0.00154552 t=22014
mei chao guo 	没超过	c=1 d=1.00741e-28 t=22014
mei ci 	每次	c=8 d=0.00116504 t=22014
mei fa 	沒法	c=7 d=1.27499e-05 t=22014
mei fa zi 	沒法子	c=1 d=1.34354e-33 t=22014
mei fan ying 	没反应	c=2 d=4.32426e-25 t=22014
mei gan 	沒幹	c=1 d=7.14342e-14 t=22014
mei ge 	每隔	c=2 d=1.23683e-30 t=22014
mei ge ren 	每個人	c=1 d=2.36268e-27 t=22014
mei ge yue 	每個月	c=1 d=1.4437e-26 t=22014
mei guan xi 	沒關係	c=1 d=0.000144823 t=22014
mei guo 	美國	c=18 d=0.000231716 t=22014
mei han 	美韩	c=2 d=1.88093e-13 t=22014
mei hao huo 	沒好貨	c=1 d=4.65636e-38 t=22014
mei jin 	美金	c=1 d=5.60184e-07 t=22014
mei kan dao 	没看到	c=5 d=0.293758 t=22014
mei mai 	沒買	c=1 d=4.47378e-38 t=22014
mei nong guo 	沒弄過	c=1 d=3.9156e-29 t=22014
mei nv 	美女	c=1 d=1.43797e-38 t=22014
mei qian 	沒錢	c=1 d=4.01758e-08 t=22014
mei qu 	美區	c=1 d=0.000269215 t=22014
mei ren 	沒人	c=4 d=0.00271221 t=22014
mei sha 	沒啥	c=3 d=1.80025e-05 t=22014
mei shao 	沒少	c=1 d=5.357e-40 t=22014
mei shen me 	沒什麼	c=1 d=6.32386e-32 t=22014
mei shi 	沒事	c=1 d=2.50964e-31 t=22014
mei shu 	美術	c=4 d=3.3737e-35 t=22014
mei ti dao 	没提到	c=1 d=4.86918e-05 t=22014
mei tian 	每天	c=6 d=4.32975e-06 t=22014
mei ting shuo 	没听说	c=1 d=4.49558e-07 t=22014
mei ting shuo guo 	没听说过	c=1 d=1 t=20121
mei wan guo 	没玩过	c=1 d=1.85634e-13 t=22014
mei wen ti 	沒問題	c=2 d=7.13856e-06 t=22014
mei yi ge 	每一個	c=1 d=0.00348252 t=22014
mei yi si 	沒意思	c=1 d=5.26362e-39 t=22014
mei yi wei 	每一位	c=1 d=1 t=21404
mei yo 	妹哟	c=1 d=6.93584e-20 t=22014
mei yong 	沒用	c=2 d=1.22265e-12 t=22014
mei yong guo 	没用过	c=4 d=2.69266e-06 t=22014
mei you 	沒有	c=178 d=1.95784 t=22014
mei you kan guo 	沒有看過	c=1 d=1 t=20036
mei you le 	没有了	c=2 d=0.188247 t=22014
mei you shen me 	沒有什麼	c=1 d=1 t=20084
mei yuan 	美元	c=7 d=4.61234e-07 t=22014
mei yue 	每月	c=2 d=2.34204e-12 t=22014
mei zen me 	沒怎麼	c=0 d=1.17691e-35 t=22014
mei zen me yong 	沒怎麼用	c=1 d=1.18281e-34 t=22014
mei zhu ce 	没注册	c=1 d=1.26883e-07 t=22014
mei zi 	妹子	c=1 d=7.71839e-13 t=22014
mei zou 	没走	c=1 d=0.000163287 t=22014
mei zu 	魅族	c=4 d=0.000165755 t=22014
men 	們	c=7 d=2.09159e-05 t=22014
men 	門	c=2 d=3.64029e-34 t=22014
meng 	夢	c=2 d=1.99074e-33 t=22014
meng 	猛	c=1 d=0.527292 t=22014
meng ao 	蒙獒	c=1 d=3.04532e-13 t=22014
meng guo 	盟國	c=1 d=0.0513033 t=22014
mi 	米	c=2 d=2.40909e-41 t=22014
mi 	羋	c=1 d=1.05213e-39 t=22014
mi ma 	密碼	c=9 d=0.00145373 t=22014
mi tuo 	彌陀	c=0 d=1.80798e-27 t=22014
mi yao 	密鑰	c=4 d=1.60628e-10 t=22014
mian 	麪	c=3 d=7.59831e-05 t=22014
mian ban 	面板	c=2 d=2.06787e-05 t=22014
mian de 	免得	c=2 d=0.634448 t=22014
mian dian 	緬甸	c=1 d=7.79331e-09 t=22014
mian fei 	免費	c=22 d=0.00384607 t=22014
mian fei ma 	免費嗎	c=1 d=2.16683e-09 t=22014
mian xiang 	面向	c=1 d=0.00200924 t=22014
miao 	描	c=1 d=5.50121e-29 t=22014
miao 	瞄	c=1 d=2.51827e-42 t=22014
miao 	秒	c=3 d=0.537944 t=22014
miao kai 	秒開	c=1 d=1.08101e-34 t=22014
miao shu 	描述	c=5 d=2.19652e-22 t=22014
miao xie 	描寫	c=1 d=1 t=20498
miao zhong 	秒鐘	c=1 d=1.5892e-38 t=22014
min gan 	敏感	c=1 d=7.50839e-12 t=22014
min zu 	民族	c=1 d=9.85783e-09 t=22014
ming 	命	c=2 d=8.13236e-10 t=22014
ming an 	明暗	c=1 d=7.43344e-41 t=22014
ming bai 	明白	c=18 d=0.524678 t=22014
ming bai le 	明白了	c=3 d=0.000355581 t=22014
ming jia 	名家	c=0 d=3.46622e-37 t=22014
ming jia li suo 	名家利索	c=1 d=3.48359e-36 t=22014
ming ju 	名句	c=1 d=2.79621e-09 t=22014
ming ling 	命令	c=6 d=3.17752e-09 t=22014
ming ming 	命名	c=1 d=8.0918e-10 t=22014
ming ming 	明明	c=2 d=9.29341e-11 t=22014
ming tian 	明天	c=5 d=3.01965e-28 t=22014
ming xia 	名下	c=1 d=1 t=21276
ming xian 	明顯	c=1 d=0.000925663 t=22014
ming xing 	明星	c=2 d=4.47965e-11 t=22014
ming yi 	名義	c=9 d=1.8538 t=21364
ming yun 	命運	c=2 d=2.50494e-09 t=22014
ming zhu 	名著	c=2 d=3.20026e-36 t=22014
ming zi 	名字	c=7 d=0.000253537 t=22014
ming zu 	名族	c=1 d=1 t=20494
mo 	膜	c=2 d=2.0248e-27 t=22014
mo 	魔	c=3 d=5.0323e-20 t=22014
mo chou qian lu wu zhi ji 	莫愁前路无知己	c=1 d=3.47589e-10 t=22014
mo dou 	魔都	c=1 d=5.14624e-09 t=22014
mo kuai 	模塊	c=1 d=1.57371e-11 t=22014
mo ming qi miao 	莫名其妙	c=1 d=4.81402e-18 t=22014
mo mo 	嬷嬷	c=0 d=0.1 t=20118
mo mo wu wen 	默默無聞	c=1 d=4.86074e-14 t=22014
mo qing 	摸清	c=1 d=1 t=21093
mo qu 	魔趣	c=4 d=3.91039e-18 t=22014
mo ren 	沒人	c=2 d=2.91429e-25 t=22014
mo ren 	默認	c=11 d=0.00151193 t=22014
mo sheng 	陌生	c=1 d=6.75172e-27 t=22014
mo shi 	模式	c=19 d=0.171078 t=22014
mo wei 	末尾	c=1 d=1 t=20439
mo xing 	模型	c=4 d=4.36859e-41 t=22014
mo yao 	莫要	c=1 d=0.239309 t=22014
mou 	某	c=2 d=5.89407e-17 t=22014
mou fu li 	謀福利	c=1 d=1 t=21157
mou ge 	某個	c=11 d=0.460704 t=22014
mou yi 	某一	c=0 d=7.50943e-44 t=22014
mou yi ge 	某一个	c=2 d=3.45028e-11 t=22014
mou yi ke 	某一刻	c=1 d=7.54707e-43 t=22014
mu 	目	c=1 d=3.77706e-17 t=22014
mu lu 	目錄	c=4 d=0.00109719 t=22014
mu qian 	目前	c=12 d=3.83219e-11 t=22014
mu qian lai shuo 	目前来说	c=1 d=0.00247875 t=22014
na 	哪	c=1 d=1.19799e-37 t=22014
na 	拿	c=3 d=2.88431e-21 t=22014
na 	那	c=51 d=2.193 t=22014
na bian 	那邊	c=3 d=7.82852e-11 t=22014
na bu dao 	拿不到	c=1 d=4.3559e-18 t=22014
na bu shi 	那不是	c=1 d=3.02694e-30 t=22014
na dao 	拿到	c=3 d=1.42901e-27 t=22014
na er 	哪兒	c=4 d=0.278037 t=22014
na er 	那兒	c=0 d=0.00173355 t=22014
na ge 	哪個	c=31 d=0.0359218 t=22014
na ge 	那個	c=47 d=0.675753 t=22014
na hao 	那好	c=1 d=1.45846e-28 t=22014
na ji tian 	那幾天	c=2 d=1.71177 t=21641
na jia 	哪家	c=1 d=4.0273e-07 t=22014
na kuai 	那塊	c=1 d=1.01074e-08 t=22014
na li 	哪裏	c=17 d=2.3465e-05 t=22014
na li 	那裏	c=10 d=0.172045 t=22014
na me 	那麼	c=11 d=1.00379e-12 t=22014
na me duo 	那麼多	c=5 d=1.34865e-21 t=22014
na me duo nian 	那么多年	c=1 d=0.1764 t=22014
na me gao 	那么高	c=1 d=9.24531e-19 t=22014
na me gui 	那么贵	c=1 d=9.01705e-19 t=22014
na nv 	那女	c=1 d=0.00304273 t=22014
na qian 	拿錢	c=1 d=6.79387e-12 t=22014
na qu 	拿去	c=1 d=1 t=21785
na qun 	那羣	c=1 d=7.15924e-40 t=22014
na shi 	那是	c=3 d=2.60628e-05 t=22014
na shi 	那時	c=3 d=2.3587e-37 t=22014
na wei 	哪位	c=2 d=0.909373 t=22014
na wei 	那位	c=1 d=2.04482e-33 t=22014
na xie 	哪些	c=12 d=4.00255e-12 t=22014
na xie 	拿些	c=2 d=7.42239e-15 t=22014
na xie 	那些	c=6 d=3.77642e-15 t=22014
na yang 	那樣	c=6 d=2.51477e-08 t=22014
na yi ge 	哪一個	c=3 d=7.30162e-07 t=22014
na yi tao 	那一套	c=2 d=0.118245 t=22014
na you 	那又	c=1 d=4.40043e-20 t=22014
na zai 	拿在	c=1 d=6.74828e-21 t=22014
na zhong 	那種	c=5 d=0.000384729 t=22014
nai 	乃	c=0 d=2.77414e-05 t=22014
nai nai 	奶奶	c=5 d=0.119514 t=22014
nai xin 	耐心	c=1 d=1.25122e-19 t=22014
nan 	南	c=1 d=8.11136e-09 t=22014
nan 	男	c=2 d=3.96666e-05 t=22014
nan 	難	c=1 d=1.73467e-39 t=22014
nan dao 	難道	c=12 d=4.25479e-05 t=22014
nan fang 	南方	c=1 d=1.18325e-09 t=22014
nan hai 	南海	c=1 d=2.60717e-09 t=22014
nan kai 	南開	c=1 d=3.26436e-36 t=22014
nan kan 	難看	c=1 d=2.76783e-36 t=22014
nan nv 	男女	c=1 d=0.0297478 t=22014
nan ren 	男人	c=1 d=1.01088e-39 t=22014
nan ti 	難題	c=1 d=0.149569 t=22014
nan yi 	難以	c=1 d=2.9502e-22 t=22014
nao 	腦	c=1 d=0.0170774 t=22014
nao 	鬧	c=0 d=0.00337306 t=22014
nao chi dai 	鬧癡呆	c=1 d=0.0169075 t=22014
nao hai li 	腦海裏	c=1 d=1 t=20401
nao nei shang 	鬧內傷	c=1 d=0.0169922 t=22014
nao zhong 	鬧鐘	c=1 d=6.41807e-19 t=22014
nao zi 	腦子	c=2 d=0.000312783 t=22014
ne 	呢	c=42 d=0.850241 t=22014
nei 	內	c=2 d=9.63768e-08 t=22014
nei cun 	內存	c=12 d=8.41299e-33 t=22014
nei han 	內含	c=1 d=4.48703e-14 t=22014
nei he 	內核	c=4 d=9.97681e-06 t=22014
nei kong 	內控	c=1 d=5.98111e-13 t=22014
nei mu 	內幕	c=1 d=2.89877e-21 t=22014
nei qian 	內嵌	c=1 d=0.438235 t=22014
nei rong 	內容	c=3 d=2.14054e-27 t=22014
nei shang 	內傷	c=1 d=0.0188537 t=22014
nei wang 	內網	c=1 d=5.71482e-36 t=22014
nei zhi 	內置	c=5 d=5.96016e-16 t=22014
neng 	能	c=9 d=0.25924 t=22014
neng bu neng 	能不能	c=1 d=3.00305e-25 t=22014
neng huo 	能活	c=1 d=7.42712e-31 t=22014
neng kan 	能看	c=1 d=1.12302e-12 t=22014
neng li 	能力	c=2 d=5.17115e-07 t=22014
neng liang 	能量	c=3 d=0.00750362 t=22014
neng shi 	能使	c=1 d=8.14621e-30 t=22014
neng xia zai 	能下載	c=1 d=5.57865e-17 t=22014
neng yuan 	能源	c=1 d=7.33923e-38 t=22014
ni 	你	c=114 d=2.15243 t=22014
ni cheng 	昵稱	c=2 d=3.52531e-29 t=22014
ni de 	你的	c=3 d=0.00562801 t=22014
ni gu ji 	你估計	c=1 d=1.23856e-17 t=22014
ni hai 	你還	c=2 d=7.16627e-11 t=22014
ni hao 	你好	c=7 d=1.7822e-16 t=22014
ni jiu shi 	你就是	c=1 d=1.77435e-11 t=22014
ni kan 	你看	c=1 d=4.26529e-06 t=22014
ni ma 	你媽	c=1 d=1 t=20301
ni ma 	尼瑪	c=5 d=4.06708e-05 t=22014
ni men 	你們	c=23 d=0.0852329 t=22014
ni neng 	你能	c=1 d=2.43166e-42 t=22014
ni nv er 	你女兒	c=2 d=8.89639e-41 t=22014
ni shi 	你是	c=1 d=1.85281e-20 t=22014
ni shi shui 	你是誰	c=1 d=2.65984e-09 t=22014
ni shi shuo 	你是说	c=3 d=3.47471e-06 t=22014
ni shuo 	你說	c=1 d=5.96668e-14 t=22014
ni zhe ge 	你这个	c=1 d=1.08946e-08 t=22014
nian 	唸	c=1 d=1.09851 t=20970
nian 	年	c=5 d=2.52316e-06 t=22014
nian 	碾	c=1 d=1 t=21180
nian dai 	年代	c=3 d=8.08077e-05 t=22014
nian hua 	年華	c=1 d=0.235746 t=22014
nian ji 	年紀	c=1 d=1 t=21434
nian ling 	年齡	c=1 d=1 t=21100
nian tai ci 	唸臺詞	c=1 d=1 t=20968
niao 	尿	c=1 d=5.23469e-33 t=22014
niao 	鳥	c=2 d=2.07113e-07 t=22014
nin 	您	c=4 d=4.23811e-19 t=22014
ning yuan 	寧願	c=1 d=9.76805e-19 t=22014
niu 	牛	c=7 d=0.000432902 t=22014
niu bi 	牛逼	c=13 d=0.169364 t=22014
niu bian 	牛鞭	c=1 d=3.15262e-38 t=22014
nong 	弄	c=1 d=9.33505e-15 t=22014
nong dao 	弄到	c=1 d=9.38823e-23 t=22014
nong ge 	弄個	c=1 d=2.54272e-38 t=22014
nong guo 	弄過	c=0 d=3.89607e-30 t=22014
nong li 	農曆	c=5 d=1.7505e-13 t=22014
nong lie 	濃烈	c=1 d=3.44002e-35 t=22014
nong min 	農民	c=1 d=1 t=21145
nong yi ge 	弄一个	c=1 d=8.10144e-24 t=22014
nong yi xia 	弄一下	c=1 d=1.6174e-39 t=22014
nu bi 	奴婢	c=2 d=8.79292e-17 t=22014
nu bi ya 	努比亞	c=55 d=1.94194 t=22014
nu chi 	怒斥	c=2 d=1.99005 t=20223
nu gong 	弩弓	c=0 d=8.13513e-15 t=22014
nu li 	奴隸	c=1 d=4.30816e-06 t=22014
nuo ji ya 	諾基亞	c=1 d=1.15341e-32 t=22014
nv 	女	c=11 d=0.000108802 t=22014
nv er 	女兒	c=5 d=3.01385e-40 t=22014
nv jing cha 	女警察	c=1 d=5.74365e-07 t=22014
nv ming xing 	女明星	c=1 d=3.19918e-34 t=22014
nv ren 	女人	c=2 d=0.0678809 t=22014
nv ren wei 	女人味	c=1 d=0.22313 t=22014
nv shen 	女神	c=1 d=1 t=20232
nv sheng 	女生	c=1 d=1.45242e-38 t=22014
nv shi ren 	女诗人	c=1 d=2.72717e-09 t=22014
nv tong zhi 	女同志	c=1 d=1.97966e-05 t=22014
nv xing 	女性	c=3 d=0.00220614 t=22014
nv xu 	女婿	c=1 d=1 t=20007
nv yan yuan 	女演員	c=1 d=0.0025415 t=22014
nv zhu bo 	女主播	c=1 d=1.68724e-07 t=22014
o 	哦	c=82 d=1.03545 t=22014
o 	噢	c=2 d=2.01114e-26 t=22014
o mi tuo fo 	哦彌陀佛	c=3 d=0.666922 t=22014
ou er 	偶爾	c=2 d=4.15385e-38 t=22014
ou xiang 	偶像	c=1 d=4.95894e-14 t=22014
ou yang 	歐陽	c=1 d=3.1004e-18 t=22014
ou yuan 	歐元	c=1 d=1.43577e-20 t=22014
pa 	怕	c=5 d=2.92392e-05 t=22014
pa pa pa 	啪啪啪	c=2 d=0.0682212 t=22014
pai 	拍	c=1 d=2.54323e-11 t=22014
pai 	派	c=2 d=1.99005 t=21086
pai chi 	排斥	c=3 d=2.15655e-39 t=22014
pai chu suo 	派出所	c=1 d=0.00211225 t=22014
pai ming 	排名	c=1 d=7.91783e-19 t=22014
pai she 	拍攝	c=2 d=1.06204 t=20895
pai tou 	派頭	c=1 d=3.29885e-42 t=22014
pai xi 	派系	c=2 d=0.00860854 t=22014
pai zhang 	排長	c=1 d=1.23129e-36 t=22014
pan 	盤	c=2 d=0.32628 t=22014
pan duan 	判斷	c=3 d=0.0417941 t=22014
pan jin lian 	潘金蓮	c=1 d=1.19222e-39 t=22014
pan shang 	盤上	c=1 d=0.351692 t=22014
pao 	跑	c=3 d=0.000397625 t=22014
pao bu dong 	跑不動	c=1 d=4.51874e-38 t=22014
pao chu lai 	跑出來	c=1 d=1.67012e-34 t=22014
pao mian 	泡麪	c=1 d=3.26491e-38 t=22014
pao qi 	拋棄	c=0 d=1.14512e-07 t=22014
pao qi shu biao 	拋棄鼠標	c=1 d=1.15086e-06 t=22014
pao shui 	泡水	c=4 d=7.18138e-38 t=22014
pao zhang 	炮仗	c=1 d=9.73951e-14 t=22014
pei 	配	c=2 d=3.25339e-06 t=22014
pei chang kuan 	赔偿款	c=1 d=1 t=21200
pei chen 	陪襯	c=0 d=0.000222055 t=22014
pei chen ta 	陪襯她	c=1 d=0.00223168 t=22014
pei jue 	配角	c=1 d=1 t=20074
pei zhi 	配置	c=14 d=0.0955027 t=22014
pei zhi zai gao 	配置再高	c=1 d=1.94548e-06 t=22014
peng 	彭	c=1 d=3.3865e-27 t=22014
peng dao 	碰到	c=1 d=5.8172e-39 t=22014
peng you quan 	朋友圈	c=1 d=3.6164e-35 t=22014
pi 	屁	c=1 d=2.63929e-06 t=22014
pi ka 	皮卡	c=0 d=9.80668e-37 t=22014
pi ka qiu 	皮卡丘	c=1 d=9.85583e-36 t=22014
pi liang 	批量	c=1 d=1.03918e-11 t=22014
pi pan 	批判	c=1 d=5.38385e-40 t=22014
pi ru 	譬如	c=35 d=0.566844 t=22014
pi zhun 	批准	c=1 d=5.69328e-21 t=22014
pian 	片	c=2 d=1.70381e-22 t=22014
pian 	騙	c=2 d=8.94434e-12 t=22014
pian hao 	偏好	c=3 d=0.00548134 t=22014
pian qian 	騙錢	c=1 d=5.92038e-40 t=22014
pian qian cai 	騙錢才	c=1 d=4.29909e-40 t=22014
pian ren 	騙人	c=1 d=1.88728e-31 t=22014
pian yi 	便宜	c=2 d=1.95052e-08 t=22014
pian yi mai 	便宜賣	c=1 d=1.9603e-07 t=22014
pian zi 	片子	c=1 d=1 t=20058
piao liang 	漂亮	c=1 d=7.6799e-13 t=22014
pin kong 	品控	c=1 d=3.13743e-40 t=22014
pin lv 	頻率	c=2 d=2.16082e-35 t=22014
pin ming 	拼命	c=2 d=5.80632e-17 t=22014
pin pai 	品牌	c=2 d=0.949481 t=22014
pin yin 	拼音	c=8 d=0.00433753 t=22014
ping 	屏	c=1 d=3.90349e-22 t=22014
ping 	平	c=3 d=0.0419724 t=22014
ping ban 	平板	c=1 d=8.96292e-07 t=22014
ping ce 	評測	c=15 d=1.06582e-31 t=22014
ping chang 	平常	c=1 d=2.34323e-18 t=22014
ping guo 	蘋果	c=4 d=6.31581e-11 t=22014
ping jia 	評價	c=5 d=1.99541e-10 t=22014
ping jie 	憑藉	c=1 d=1 t=21911
ping jun 	平均	c=2 d=2.00541e-10 t=22014
ping lun 	評論	c=3 d=0.000229922 t=22014
ping lv 	平率	c=2 d=1.2798e-20 t=22014
ping mu 	屏幕	c=11 d=0.242926 t=22014
ping ping 	平平	c=2 d=2.32726e-18 t=22014
ping ping an an 	平平安安	c=1 d=1.13489e-18 t=22014
ping shen me 	憑什麼	c=1 d=1.27715e-25 t=22014
ping sheng 	平生	c=1 d=8.37405e-31 t=22014
ping shi 	平時	c=1 d=3.15755e-27 t=22014
ping tai 	平臺	c=4 d=6.47816e-11 t=22014
ping xing 	平行	c=6 d=1.15551e-40 t=22014
ping xing yu zhou 	平行宇宙	c=1 d=3.6002e-41 t=22014
ping yi jin ren 	平易近人	c=1 d=2.81549e-31 t=22014
po 	婆	c=0 d=0.1 t=20092
po 	破	c=1 d=5.29287e-17 t=22014
po jie 	破解	c=1 d=0.00158052 t=22014
po pi 	破皮	c=1 d=1.34034e-05 t=22014
po shou ji 	破手機	c=1 d=5.31941e-16 t=22014
po shui 	潑水	c=1 d=1 t=20348
pu tong 	普通	c=8 d=0.112574 t=22014
pu tong ren 	普通人	c=1 d=5.81838e-12 t=22014
qi 	其	c=1 d=5.41931e-29 t=22014
qi 	祁	c=3 d=2.69037 t=21355
qi 	起	c=1 d=2.74598e-31 t=22014
qi 	騎	c=3 d=1.35824e-15 t=22014
qi bu 	豈不	c=4 d=0.036334 t=22014
qi bu shi 	豈不是	c=4 d=0.186381 t=22014
qi dai 	期待	c=1 d=1.48585e-41 t=22014
qi dong 	啓動	c=20 d=0.00885844 t=22014
qi fen 	氣氛	c=1 d=2.35866e-07 t=22014
qi fu 	欺負	c=1 d=0.0151463 t=22014
qi fu ren 	欺負人	c=1 d=0.0148464 t=22014
qi guai 	奇怪	c=1 d=1 t=21824
qi guai le 	奇怪了	c=1 d=2.11398e-42 t=22014
qi guo 	齊國	c=1 d=2.23815e-37 t=22014
qi hei 	漆黑	c=1 d=7.64289e-15 t=22014
qi hou 	氣候	c=1 d=7.48749e-38 t=22014
qi jian 	器件	c=2 d=0.0862936 t=22014
qi jian 	期間	c=1 d=1 t=21525
qi lai 	起來	c=4 d=1.18999e-17 t=22014
qi ma 	騎馬	c=1 d=5.7158e-38 t=22014
qi pan 	棋盤	c=1 d=1 t=20373
qi pu 	棋譜	c=1 d=1 t=20386
qi shi 	其實	c=15 d=0.0639349 t=22014
qi shi 	起始	c=1 d=1.56395e-26 t=22014
qi shi 	騎士	c=0 d=2.10308e-41 t=22014
qi ta 	其他	c=31 d=0.585705 t=22014
qi ta 	其它	c=1 d=3.21193e-22 t=22014
qi ta ren 	其他人	c=2 d=0.316637 t=22014
qi wei 	棋位	c=1 d=1 t=20374
qi xi 	氣息	c=1 d=1 t=20851
qi ya 	氣壓	c=1 d=1.82491e-18 t=22014
qi ye 	企業	c=1 d=1.64558e-07 t=22014
qi you 	汽油	c=1 d=4.88329e-39 t=22014
qi yuan 	奇緣	c=0 d=7.84572e-30 t=22014
qi yuan 	起源	c=3 d=4.97474e-08 t=22014
qi zhi 	氣質	c=1 d=1 t=20993
qi zhong 	其中	c=2 d=1.29222e-16 t=22014
qi zi 	妻子	c=2 d=1.24293 t=21448
qi zi 	棋子	c=1 d=1 t=20375
qia hao 	恰好	c=1 d=3.5466e-41 t=22014
qian 	前	c=9 d=0.571209 t=22014
qian 	錢	c=2 d=1.8506e-06 t=22014
qian ba 	千把	c=0 d=8.61266e-39 t=22014
qian ba kuai 	千把塊	c=1 d=8.65583e-38 t=22014
qian ba yuan 	千把元	c=1 d=1.47819e-39 t=22014
qian duan 	前端	c=2 d=4.74073e-14 t=22014
qian fu 	潛伏	c=1 d=1 t=21015
qian fu zhe 	潛伏着	c=1 d=0.00353515 t=22014
qian gui ze 	潛規則	c=2 d=0.00321477 t=22014
qian jin 	前進	c=3 d=0.474734 t=22014
qian mian 	前面	c=4 d=4.43803e-32 t=22014
qian ming 	簽名	c=2 d=8.16257e-16 t=22014
qian nian 	千年	c=2 d=1.34171e-17 t=22014
qian qian 	千千	c=0 d=5.78425e-32 t=22014
qian qian sui 	千千歲	c=1 d=5.81324e-31 t=22014
qian sui 	千歲	c=3 d=6.37976e-30 t=22014
qian yi 	遷移	c=2 d=6.05662e-35 t=22014
qian zhan 	前站	c=1 d=1 t=21092
qian zhe 	前者	c=1 d=1.37517e-42 t=22014
qiang 	強	c=3 d=0.0081887 t=22014
qiang 	搶	c=1 d=1.7928e-15 t=22014
qiang 	槍	c=1 d=5.68941e-13 t=22014
qiang 	牆	c=1 d=9.58962e-08 t=22014
qiang bi 	槍斃	c=2 d=0.0321362 t=22014
qiang diao 	強調	c=1 d=3.48478e-40 t=22014
qiang jia 	強加	c=2 d=0.034846 t=22014
qiang jia jin qu 	強加進去	c=1 d=1 t=20937
qiang jian 	強姦	c=4 d=1.84832e-05 t=22014
qiang jie 	搶劫	c=1 d=8.40315e-13 t=22014
qiang lie 	強烈	c=1 d=6.77611e-40 t=22014
qiang nei 	腔內	c=1 d=9.4942e-08 t=22014
qiang qi 	强气	c=1 d=1 t=20391
qiang shi 	強勢	c=1 d=1 t=19941
qiao pai 	殼牌	c=2 d=1.99501 t=20366
qiao qiao 	瞧瞧	c=2 d=5.15325e-25 t=22014
qie ge 	切割	c=0 d=3.2419e-44 t=22014
qie ge ya suo 	切割壓縮	c=1 d=3.25815e-43 t=22014
qie huan 	切換	c=12 d=0.000266536 t=22014
qie huan ji fang 	切換機房	c=1 d=6.17586e-37 t=22014
qin 	秦	c=1 d=1.07339e-39 t=22014
qin jun 	秦軍	c=1 d=0.000300519 t=22014
qin qi 	親戚	c=2 d=1.1347e-35 t=22014
qin wu wang 	秦武王	c=1 d=1.14547e-39 t=22014
qin yuan chun 	沁園春	c=0 d=0.1 t=20757
qin yuan chun xue 	沁園春雪	c=1 d=1 t=20758
qing 	卿	c=1 d=5.04503e-40 t=22014
qing 	晴	c=1 d=1 t=21318
qing 	清	c=3 d=6.58972e-06 t=22014
qing 	請	c=3 d=1.03529e-28 t=22014
qing 	輕	c=3 d=2.97186e-23 t=22014
qing chu 	清楚	c=1 d=1.30676e-30 t=22014
qing chu 	清除	c=13 d=7.97367e-16 t=22014
qing chun chang zhu 	青春常驻	c=1 d=7.57716e-31 t=22014
qing feng 	清風	c=0 d=1.70154e-19 t=22014
qing feng dong 	清風洞	c=2 d=6.55685e-06 t=22014
qing hua 	清華	c=1 d=1 t=21975
qing kuang 	情況	c=11 d=0.0742736 t=22014
qing kuang xia 	情況下	c=1 d=8.09291e-41 t=22014
qing li 	清理	c=19 d=1.19555e-18 t=22014
qing liang 	轻量	c=1 d=1 t=20255
qing liang ji 	輕量級	c=6 d=0.00292686 t=22014
qing liao 	輕聊	c=2 d=1.18121e-18 t=22014
qing ni 	請你	c=1 d=6.19837e-21 t=22014
qing qing 	輕輕	c=1 d=1 t=21435
qing que 	情怯	c=1 d=1.29759e-06 t=22014
qing sheng 	情聖	c=1 d=1.25424e-18 t=22014
qing wen 	請問	c=4 d=2.62348e-16 t=22014
qing xiang 	傾向	c=1 d=8.61559e-42 t=22014
qing yi 	輕易	c=1 d=3.86268e-16 t=22014
